CONFIG_ID;IS_ELITE;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia
380;FALSE;2;4;0;NA;NA;1.4;2.05;0.7
381;FALSE;51;0;1;NA;NA;0.83;1.17;0.53
382;FALSE;2;4;0;NA;NA;1.67;2.03;0.49
383;TRUE;59;4;0;NA;NA;0.84;2.21;0.65
384;FALSE;51;4;0;NA;NA;1.4;2.26;0.78
385;FALSE;6;4;2;NA;NA;0.85;1.7;0.56
386;TRUE;33;4;0;NA;NA;0.99;1.99;0.65
387;FALSE;70;0;0;NA;NA;0.29;1.56;0.53
388;FALSE;71;4;0;NA;NA;1.49;2.38;0.76
389;FALSE;15;4;0;NA;NA;1.17;2.05;0.66
390;FALSE;21;4;0;NA;NA;1.32;1.9;0.64
391;FALSE;45;4;0;NA;NA;1.55;2.12;0.71
392;FALSE;16;4;0;NA;NA;1.11;1.35;0.66
393;FALSE;62;0;0;NA;NA;0.41;1.34;0.66
394;FALSE;14;2;0;NA;NA;2.15;2.04;0.8
395;FALSE;7;4;0;NA;NA;1.73;2;0.7
396;FALSE;5;1;0;NA;NA;1.5;1.94;0.74
397;FALSE;15;4;2;NA;NA;0.95;1.71;0.61
398;FALSE;57;4;0;NA;NA;1.79;1.8;0.86
399;FALSE;73;4;0;NA;NA;1.48;2.42;0.76
400;FALSE;56;4;0;NA;NA;0.96;2.3;0.73
401;FALSE;68;6;0;15;NA;1.16;2.38;0.82
402;FALSE;3;4;0;NA;NA;1.15;1.62;0.58
403;FALSE;16;5;0;NA;4;0.93;2.24;0.71
404;FALSE;48;0;0;NA;NA;0.57;1.31;0.47
405;FALSE;72;0;0;NA;NA;1;1.11;0.61
406;FALSE;50;0;0;NA;NA;0.53;1.04;0.52
407;FALSE;22;4;1;NA;NA;1.91;1.67;0.89
408;FALSE;43;0;2;NA;NA;0.2;1.18;0.48
409;FALSE;55;0;0;NA;NA;0.23;1.84;0.65
410;FALSE;45;4;0;NA;NA;1.1;2.01;0.69
411;FALSE;26;4;0;NA;NA;1.06;1.47;0.74
412;FALSE;62;4;0;NA;NA;1;2.35;0.78
413;FALSE;80;4;2;NA;NA;1.21;2.21;0.83
414;FALSE;66;0;0;NA;NA;0.2;1.11;0.58
415;FALSE;38;0;0;NA;NA;2.36;1.63;0.65
416;FALSE;4;4;0;NA;NA;1.29;1.86;0.57
417;FALSE;38;4;0;NA;NA;1.93;1.74;0.72
418;TRUE;57;4;0;NA;NA;0.59;2.22;0.56
419;FALSE;35;4;0;NA;NA;1.75;1.85;0.81
420;FALSE;33;4;2;NA;NA;1.69;1.84;0.87
421;FALSE;55;4;0;NA;NA;1.03;2.26;0.69
422;FALSE;35;4;0;NA;NA;1.08;2.22;0.48
423;FALSE;71;4;0;NA;NA;1.01;2.32;0.71
424;FALSE;18;4;0;NA;NA;0.97;1.76;0.73
425;FALSE;4;4;0;NA;NA;1.42;1.94;0.62
426;FALSE;53;4;0;NA;NA;1.05;2;0.63
427;FALSE;27;4;0;NA;NA;0.81;2.02;0.62
428;FALSE;12;4;0;NA;NA;1.86;1.78;0.81
429;FALSE;44;4;0;NA;NA;1.23;2.31;0.49
430;FALSE;14;4;0;NA;NA;1.28;2.02;0.57
431;FALSE;43;4;0;NA;NA;1.74;1.76;0.85
432;FALSE;77;4;0;NA;NA;0.85;2.23;0.6
433;FALSE;35;4;0;NA;NA;1.78;1.64;0.81
434;FALSE;16;4;0;NA;NA;1.15;2.43;0.42
435;FALSE;21;4;0;NA;NA;1.44;2;0.62
436;FALSE;49;4;0;NA;NA;0.86;2.13;0.63
437;FALSE;14;4;0;NA;NA;1.45;2.06;0.55
438;FALSE;63;4;0;NA;NA;0.83;2.2;0.64
439;FALSE;20;4;0;NA;NA;1.22;2.26;0.43
440;FALSE;43;4;0;NA;NA;0.78;2.21;0.67
441;FALSE;30;4;0;NA;NA;2.05;1.69;0.85
